community	lstm-3_cclm	lstm-3-0_cclm	lstm-3-1_cclm	lstm-3-2_cclm	lstm-3-3_cclm	transformer-3_cclm	transformer-3-0_cclm	transformer-3-1_cclm	transformer-3-2_cclm	transformer-3-3_cclm	lstm-3-0_lmcc	lstm-3-1_lmcc	lstm-3-2_lmcc	lstm-3-3_lmcc	transformer-3-0_lmcc	transformer-3-1_lmcc	transformer-3-2_lmcc	transformer-3-3_lmcc	lstm-3-0_gain	lstm-3-1_gain	lstm-3-2_gain	lstm-3-3_gain	transformer-3-0_gain	transformer-3-1_gain	transformer-3-2_gain	transformer-3-3_gain
Advice	 56.2205	 58.7049	 57.6839	 57.7792	 57.2748	 66.3659	 68.6530	 72.7375	 97.8876	 68.1226	 26.9024	 28.8012	 28.7439	 32.4015	 33.7780	 28.8647	 26.9097	 29.7226	 0.9742	 0.9965	 0.9918	 1.0021	 0.9954	 0.9389	 0.7113	 0.9956
AskWomen	 65.6502	 68.2929	 66.9761	 67.6778	 66.3520	 77.1817	 78.0751	 83.4977	 110.5504	 78.0425	 31.3901	 31.8512	 32.2950	 34.6900	 37.0640	 33.3640	 33.5736	 33.8319	 0.9870	 1.0056	 0.9976	 1.0143	 1.0091	 0.9443	 0.7340	 1.0038
BabyBumps	 61.2097	 60.6820	 59.1668	 60.7635	 58.9611	 71.2936	 69.5845	 74.9326	 98.3417	 69.9792	 14.8660	 14.8638	 14.7410	 17.0016	 20.6859	 17.4877	 16.1390	 15.4014	 1.0246	 1.0464	 1.0287	 1.0531	 1.0520	 0.9744	 0.7676	 1.0434
CFB	 99.1655	 90.6235	 88.3023	 89.7468	 96.7475	 110.9077	 106.1273	 114.8770	 139.6496	 105.6332	 20.1138	 19.3612	 18.9486	 21.0206	 24.2855	 22.3636	 20.3862	 21.8873	 1.1049	 1.1384	 1.1115	 1.1188	 1.1219	 1.0877	 0.9144	 1.1418
Drugs	 78.1200	 78.2016	 75.4950	 76.7049	 75.1428	 91.8746	 88.2367	 92.9803	 120.0616	 88.0741	 18.1458	 16.7639	 15.7691	 17.8863	 22.0718	 19.2924	 15.8234	 16.7204	 1.0294	 1.0499	 1.0497	 1.0636	 1.0574	 1.0123	 0.8059	 1.0776
EDH	 77.8244	 73.7151	 71.6934	 73.3693	 71.2097	 90.4572	 85.3142	 91.6921	 118.3493	 82.3526	 4.6682	 4.6482	 4.6476	 4.9818	 5.5346	 5.0019	 5.0402	 4.8711	 1.0584	 1.0910	 1.0659	 1.1063	 1.0855	 1.0136	 0.7950	 1.1158
EarthPorn	 72.3514	 69.7323	 68.9733	 69.7469	 70.1602	 86.3010	 78.4218	 83.1976	 103.8529	 79.3828	 24.1673	 22.2961	 23.0818	 26.2528	 26.5652	 26.5120	 20.9510	 25.8141	 1.0831	 1.1085	 1.0842	 1.0947	 1.1513	 1.0716	 0.9125	 1.1405
Fantasy	 76.7216	 76.0073	 74.0835	 75.3591	 73.9114	 89.8096	 86.6689	 93.7593	 122.8149	 86.5135	 12.3306	 11.3324	 11.1903	 12.9708	 14.8476	 13.6985	 11.6264	 11.9126	 1.0297	 1.0524	 1.0373	 1.0574	 1.0625	 0.9871	 0.7819	 1.0556
GameDeals	 69.8685	 68.2685	 65.4364	 67.0286	 66.9089	 82.0246	 78.3628	 83.2515	 107.8027	 77.3344	 14.3949	 14.5604	 14.5330	 16.8128	 16.8999	 17.6562	 13.0327	 15.6489	 1.0476	 1.0806	 1.0623	 1.0697	 1.0750	 1.0232	 0.8071	 1.0774
GlobalOffensive	 94.3326	 89.0907	 87.3002	 86.3047	 86.5746	 107.8063	 103.2201	 106.0211	 138.0806	 99.8866	 22.0556	 21.9820	 21.3189	 22.6266	 25.9415	 26.3768	 23.2547	 22.5641	 1.0791	 1.1008	 1.0952	 1.1064	 1.0905	 1.0549	 0.8593	 1.1300
