community	category	lstm-3-0_lm_ppl	lstm-3-1_lm_ppl	lstm-3-2_lm_ppl	lstm-3-3_lm_ppl	transformer-3-0_lm_ppl	transformer-3-1_lm_ppl	transformer-3-2_lm_ppl	transformer-3-3_lm_ppl	lstm-3_lm_ppl	transformer-3_lm_ppl	lstm-3-0_pca1	lstm-3-0_pca2	lstm-3-1_pca1	lstm-3-1_pca2	lstm-3-2_pca1	lstm-3-2_pca2	lstm-3-3_pca1	lstm-3-3_pca2	transformer-3-0_pca1	transformer-3-0_pca2	transformer-3-1_pca1	transformer-3-1_pca2	transformer-3-2_pca1	transformer-3-2_pca2	transformer-3-3_pca1	transformer-3-3_pca2	lstm-3-0_indisc	lstm-3-1_indisc	lstm-3-2_indisc	lstm-3-3_indisc	transformer-3-0_indisc	transformer-3-1_indisc	transformer-3-2_indisc	transformer-3-3_indisc	lstm-3-0_info_gain	lstm-3-1_info_gain	lstm-3-2_info_gain	lstm-3-3_info_gain	transformer-3-0_info_gain	transformer-3-1_info_gain	transformer-3-2_info_gain	transformer-3-3_info_gain
Advice	general-interest	45.248924	44.22868	44.448406	43.981655	52.744907	55.983383	75.105225	52.746124	43.599564	51.79161	0.14172667	-0.2834253	-0.16375248	-0.0054905857	-0.15829651	-0.19005913	-0.1850047	-0.0087541165	-0.2533858	-0.20077327	-0.32509685	0.06567259	-0.46217877	0.043408405	-0.18689224	-0.08847707	0.5848345549210258	0.6261138086733611	0.6248665270598038	0.7043794549029806	0.7343049256697946	0.627494190050208	0.5849943990292756	0.6461424205614172	0.9635492	0.9857758	0.98090273	0.9913125	0.98192626	0.9251247	0.6895873	0.9819036
AskWomen	female-focused	48.40455	47.465923	47.857082	47.0547	56.074837	59.96717	78.575645	56.33233	47.09562	55.602734	-0.25157848	-0.121858045	-0.005425485	-0.08060512	-0.19907312	-0.12770116	-0.29139405	-0.10841788	-0.40916264	-0.13789569	-0.4440107	-0.118183166	-0.93493855	-0.1969514	-0.3035183	-0.13820262	0.6823934472125509	0.6924179325933042	0.702066006867782	0.7541297415028447	0.8057387808094854	0.725305059681768	0.7298599740733271	0.7354752913765286	0.97295856	0.9921985	0.98408884	1.0008696	0.99158084	0.92721957	0.7076332	0.9870484
BabyBumps	female-focused	46.55542	45.58794	46.343937	45.25761	53.58464	57.854927	74.82572	53.967693	47.008568	55.408493	-0.08033874	-0.04739331	-0.104387686	0.017987108	-0.09111332	-0.12588517	-0.25495765	-0.022969628	-0.29990798	-0.1911561	-0.29771748	0.15978695	-0.5918702	0.21746582	-0.23946038	-0.18426073	0.32317418637483014	0.3231254245923913	0.32045646335767664	0.3696001716282057	0.44969326516856317	0.3801674220872962	0.350847866224206	0.33481320090915845	1.0097336	1.0311624	1.0143412	1.0386887	1.0340369	0.9577143	0.7405006	1.0266974
CFB	sports	53.233902	51.660084	52.828285	52.476418	61.467457	63.809517	77.765236	60.77921	56.967392	66.46892	0.0849341	0.39872512	0.25325662	-0.20937282	0.07207454	0.34902972	0.038010314	0.6853347	0.16983718	0.6561668	0.40284932	-0.41711086	0.84325165	-0.91224724	-0.07571408	0.6640586	0.4372566471929136	0.42089458133863367	0.41192626953125	0.45696892945662787	0.5279451038526453	0.48616413448167883	0.4431787159131921	0.47581162660018256	1.0701337	1.1027352	1.0783502	1.0855808	1.0813676	1.0416772	0.8547382	1.0936128
Drugs	other	53.359978	52.190723	52.328003	51.596176	61.68388	64.72629	83.053	60.773968	53.752003	63.726723	-0.019383712	-0.2812698	-0.14382616	0.1304553	-0.08819123	-0.018763078	-0.24396847	0.013853999	-0.18609713	-0.01021653	-0.15906864	0.019406633	-0.63412935	-0.13698164	-0.219367	-0.092702106	0.39447436125382135	0.36443241782810376	0.3428062148716139	0.3888318849646527	0.47982182710067084	0.41940083711043646	0.3439864490343177	0.3634864972985309	1.0073467	1.0299149	1.027213	1.0417827	1.0331179	0.98455703	0.76730186	1.0485859
EDH	videogames	50.970806	49.42155	50.619972	48.761936	59.16541	63.58503	82.99021	57.63819	52.69347	62.54875	0.23179409	-0.19374305	-0.029164342	0.08361204	0.049964786	-0.070643425	0.3273845	0.016758101	0.3004047	-0.0980639	0.21564315	0.1674789	0.68929356	0.21642268	0.20905927	0.20314117	0.10148198708243993	0.10104701829993207	0.10103557420813519	0.10830015721528427	0.12031800850577977	0.10873783153036366	0.1095691038214642	0.10589372593423595	1.033797	1.0662043	1.0409621	1.0806271	1.0571845	0.9837025	0.7536883	1.0851963
EarthPorn	other	41.597607	40.626568	41.47652	41.006805	47.52531	51.09923	62.720512	48.030087	43.72133	52.619694	0.072845735	-0.1368424	-0.08862397	0.07033166	-0.04664962	0.014385757	-0.22277251	0.0040648305	-0.16985713	0.039194614	-0.16568163	-0.010905582	-0.46063593	-0.024666922	-0.17149106	-0.13338488	0.5253768589185632	0.4846987931624703	0.5017774830693784	0.5707130432128906	0.5775042824123217	0.5763475583947223	0.455456484919009	0.5611763000488281	1.051054	1.0761758	1.0541223	1.0661969	1.1071931	1.0297551	0.8389551	1.095557
Fantasy	other	54.51844	53.303738	54.077023	53.06462	62.640377	67.38491	86.63545	63.04666	55.105797	65.208405	-0.12413016	-0.07237433	0.06558931	-0.066011354	-0.016974537	-0.06468916	-0.16736947	-0.09593964	-0.1527416	-0.12435268	-0.27268058	0.109415226	-0.5130921	0.43899155	-0.1291365	-0.07514084	0.268056351205577	0.2463575031446374	0.24326822032099185	0.2819733827010445	0.32277422365934955	0.29779380300770636	0.2527484479157821	0.2589703850124193	1.0107735	1.0338074	1.0190243	1.0384659	1.0409963	0.9677004	0.7526758	1.0342879
GameDeals	other	48.385582	46.931282	47.709244	47.306824	55.774086	58.762054	75.86508	55.666245	49.74086	58.703133	0.15040204	-0.11457501	-0.08070276	0.10357078	0.29841566	-0.016171161	0.48847765	-0.19828324	0.5692622	-0.29401007	0.36362454	0.4992343	0.532291	0.9412502	0.4794538	-0.09106036	0.31293257423069165	0.31653031058933423	0.31593507269154425	0.365495723226796	0.3673886008884596	0.38383094124172046	0.28332061352937116	0.34019285699595575	1.02801	1.0598658	1.0425832	1.0514522	1.0525162	0.9989973	0.77378327	1.0545553
GlobalOffensive	videogames	53.97843	53.031143	53.201443	52.664684	62.392242	64.87529	81.86685	60.775616	56.58866	65.75364	0.22565518	0.34594706	0.19479549	0.059428744	0.19921078	0.03735063	0.468664	0.010323264	0.4840404	0.028599907	0.53535014	0.03457606	0.90453285	-0.040291872	0.37116486	0.12660137	0.47947017006252124	0.4778694899185844	0.46345387334408966	0.49188157786493714	0.5639451483021611	0.5734093292899753	0.505537862363069	0.4905237114947775	1.0483569	1.0670836	1.0636678	1.0745087	1.0538752	1.0135391	0.80317783	1.0819082
