actual_comm	confered_to	avg_prob
0	0	 0.1298
0	1	 0.0528
0	2	 0.0257
0	3	 0.0068
0	4	 0.0300
0	5	 0.0041
0	6	 0.0108
0	7	 0.0130
0	8	 0.0059
0	9	 0.0076
0	10	 0.0177
0	11	 0.0076
0	12	 0.0053
0	13	 0.0136
0	14	 0.0529
0	15	 0.0061
0	16	 0.0067
0	17	 0.0065
0	18	 0.0517
0	19	 0.0047
0	20	 0.0065
0	21	 0.0177
0	22	 0.0414
0	23	 0.0140
0	24	 0.0178
0	25	 0.0051
0	26	 0.0327
0	27	 0.0277
0	28	 0.0141
0	29	 0.0134
0	30	 0.0063
0	31	 0.0072
0	32	 0.0194
0	33	 0.0066
0	34	 0.0099
0	35	 0.0108
0	36	 0.0047
0	37	 0.1270
0	38	 0.0079
0	39	 0.0400
0	40	 0.0089
0	41	 0.0106
0	42	 0.0206
0	43	 0.0253
0	44	 0.0220
0	45	 0.0231
1	0	 0.0439
1	1	 0.1153
1	2	 0.0389
1	3	 0.0083
1	4	 0.0165
1	5	 0.0044
1	6	 0.0139
1	7	 0.0253
1	8	 0.0069
1	9	 0.0065
1	10	 0.0240
1	11	 0.0078
1	12	 0.0067
1	13	 0.0208
1	14	 0.0338
1	15	 0.0086
1	16	 0.0076
1	17	 0.0057
1	18	 0.0664
1	19	 0.0057
1	20	 0.0068
1	21	 0.0197
1	22	 0.0465
1	23	 0.0087
1	24	 0.0250
1	25	 0.0054
1	26	 0.0251
1	27	 0.0270
1	28	 0.0469
1	29	 0.0243
1	30	 0.0059
1	31	 0.0050
1	32	 0.0396
1	33	 0.0068
1	34	 0.0077
1	35	 0.0065
1	36	 0.0062
1	37	 0.0543
1	38	 0.0160
1	39	 0.0228
1	40	 0.0116
1	41	 0.0040
1	42	 0.0245
1	43	 0.0201
1	44	 0.0252
1	45	 0.0412
2	0	 0.0181
2	1	 0.0332
2	2	 0.3721
2	3	 0.0045
2	4	 0.0114
2	5	 0.0030
2	6	 0.0107
2	7	 0.0102
2	8	 0.0047
2	9	 0.0044
2	10	 0.0105
2	11	 0.0045
2	12	 0.0054
2	13	 0.0051
2	14	 0.0176
2	15	 0.0051
2	16	 0.0049
2	17	 0.0046
2	18	 0.0287
2	19	 0.0038
2	20	 0.0046
2	21	 0.0122
2	22	 0.1440
2	23	 0.0078
2	24	 0.0086
2	25	 0.0034
2	26	 0.0173
2	27	 0.0131
2	28	 0.0280
2	29	 0.0232
2	30	 0.0039
2	31	 0.0055
2	32	 0.0084
2	33	 0.0052
2	34	 0.0047
2	35	 0.0041
2	36	 0.0035
2	37	 0.0228
2	38	 0.0096
2	39	 0.0242
2	40	 0.0053
2	41	 0.0032
2	42	 0.0103
2	43	 0.0094
2	44	 0.0104
2	45	 0.0445
3	0	 0.0079
3	1	 0.0091
3	2	 0.0057
3	3	 0.3723
3	4	 0.0105
3	5	 0.0060
3	6	 0.0166
3	7	 0.0083
3	8	 0.0092
3	9	 0.0145
3	10	 0.0222
3	11	 0.0231
3	12	 0.0082
3	13	 0.0147
3	14	 0.0122
3	15	 0.0544
3	16	 0.0230
3	17	 0.0423
3	18	 0.0096
3	19	 0.0100
3	20	 0.0100
3	21	 0.0141
3	22	 0.0082
3	23	 0.0124
3	24	 0.0195
3	25	 0.0106
3	26	 0.0122
3	27	 0.0117
3	28	 0.0050
3	29	 0.0197
3	30	 0.0100
3	31	 0.0084
3	32	 0.0160
3	33	 0.0086
3	34	 0.0115
3	35	 0.0059
3	36	 0.0321
3	37	 0.0062
3	38	 0.0130
3	39	 0.0083
3	40	 0.0135
3	41	 0.0055
3	42	 0.0169
3	43	 0.0173
3	44	 0.0167
3	45	 0.0068
4	0	 0.0201
4	1	 0.0149
4	2	 0.0082
4	3	 0.0070
4	4	 0.4397
4	5	 0.0037
4	6	 0.0129
4	7	 0.0102
4	8	 0.0060
4	9	 0.0104
4	10	 0.0189
4	11	 0.0135
4	12	 0.0074
4	13	 0.0114
4	14	 0.0210
4	15	 0.0090
4	16	 0.0108
4	17	 0.0100
4	18	 0.0144
4	19	 0.0058
4	20	 0.0080
4	21	 0.0263
4	22	 0.0112
4	23	 0.0108
4	24	 0.0161
4	25	 0.0061
4	26	 0.0176
4	27	 0.0240
4	28	 0.0054
4	29	 0.0187
4	30	 0.0069
4	31	 0.0071
4	32	 0.0159
4	33	 0.0076
4	34	 0.0090
4	35	 0.0058
4	36	 0.0072
4	37	 0.0145
4	38	 0.0097
4	39	 0.0254
4	40	 0.0186
4	41	 0.0054
4	42	 0.0209
4	43	 0.0161
4	44	 0.0194
