pca1	pca2	community	category
 0.1635	 0.1041	streetwear	other
-0.1935	 0.0595	Jokes	other
 0.4299	 0.1580	MaddenUltimateTeam	videogames
-0.2322	 0.1414	cringe	other
 0.0721	 0.3490	CFB	sports
-0.0966	 0.0044	food	other
 0.1487	-0.0758	pcmasterrace	technology
 0.3795	-0.1832	jailbreak	technology
-0.0012	 0.2799	MLS	sports
-0.0415	 0.3372	MMA	sports
-0.1170	 0.2636	rupaulsdragrace	other
 0.1992	 0.0374	GlobalOffensive	videogames
-0.0128	-0.0294	bodybuilding	other
 0.0224	 0.3640	Kappa	other
-0.1668	 0.0431	videos	other
 0.1374	 0.3146	reddevils	sports
-0.1428	 0.0532	todayilearned	general-interest
 0.1134	-0.1666	KerbalSpaceProgram	videogames
-0.2007	 0.0958	justneckbeardthings	other
-0.1096	-0.1552	LifeProTips	general-interest
 0.1878	-0.1611	airsoft	other
 0.2984	-0.0162	GameDeals	other
-0.1544	 0.0152	toronto	other
 0.2384	 0.1189	eu4	videogames
-0.0177	-0.0535	cars	other
 0.1556	-0.0311	Warframe	videogames
-0.0466	 0.0144	EarthPorn	other
 0.1889	-0.2994	techsupport	technology
 0.1492	-0.0505	heroesofthestorm	videogames
-0.0882	-0.0188	Drugs	other
 0.1359	-0.0431	oculus	technology
-0.1352	 0.1180	KotakuInAction	other
-0.1442	-0.0107	exjw	other
-0.1291	-0.1139	stopdrinking	other
-0.1991	-0.1277	AskWomen	female-focused
 0.0500	-0.0706	EDH	videogames
 0.0809	-0.2444	photography	other
-0.0170	-0.0647	Fantasy	other
 0.0369	-0.0534	femalefashionadvice	female-focused
-0.1440	-0.1344	breakingmom	female-focused
-0.0911	-0.1259	BabyBumps	female-focused
-0.1210	-0.0806	explainlikeimfive	general-interest
-0.0401	-0.1768	xxfitness	female-focused
-0.1680	-0.0531	TwoXChromosomes	female-focused
-0.1583	-0.1901	Advice	general-interest
-0.2193	-0.1415	relationships	general-interest
