actual_comm	confered_to	avg_prob
0	0	 0.1268
0	1	 0.0452
0	2	 0.0241
0	3	 0.0085
0	4	 0.0306
0	5	 0.0042
0	6	 0.0087
0	7	 0.0117
0	8	 0.0068
0	9	 0.0102
0	10	 0.0163
0	11	 0.0069
0	12	 0.0052
0	13	 0.0163
0	14	 0.0418
0	15	 0.0066
0	16	 0.0073
0	17	 0.0066
0	18	 0.0718
0	19	 0.0048
0	20	 0.0099
0	21	 0.0145
0	22	 0.0355
0	23	 0.0154
0	24	 0.0181
0	25	 0.0044
0	26	 0.0350
0	27	 0.0280
0	28	 0.0136
0	29	 0.0113
0	30	 0.0052
0	31	 0.0110
0	32	 0.0157
0	33	 0.0082
0	34	 0.0143
0	35	 0.0153
0	36	 0.0058
0	37	 0.1183
0	38	 0.0080
0	39	 0.0370
0	40	 0.0098
0	41	 0.0139
0	42	 0.0216
0	43	 0.0302
0	44	 0.0176
0	45	 0.0220
1	0	 0.0494
1	1	 0.0817
1	2	 0.0367
1	3	 0.0090
1	4	 0.0173
1	5	 0.0047
1	6	 0.0117
1	7	 0.0250
1	8	 0.0077
1	9	 0.0087
1	10	 0.0229
1	11	 0.0091
1	12	 0.0071
1	13	 0.0251
1	14	 0.0322
1	15	 0.0082
1	16	 0.0082
1	17	 0.0054
1	18	 0.0744
1	19	 0.0062
1	20	 0.0111
1	21	 0.0213
1	22	 0.0475
1	23	 0.0106
1	24	 0.0215
1	25	 0.0047
1	26	 0.0274
1	27	 0.0233
1	28	 0.0450
1	29	 0.0242
1	30	 0.0049
1	31	 0.0075
1	32	 0.0314
1	33	 0.0072
1	34	 0.0084
1	35	 0.0096
1	36	 0.0062
1	37	 0.0703
1	38	 0.0167
1	39	 0.0272
1	40	 0.0145
1	41	 0.0048
1	42	 0.0254
1	43	 0.0201
1	44	 0.0192
1	45	 0.0391
2	0	 0.0219
2	1	 0.0311
2	2	 0.3722
2	3	 0.0069
2	4	 0.0100
2	5	 0.0026
2	6	 0.0105
2	7	 0.0092
2	8	 0.0062
2	9	 0.0046
2	10	 0.0095
2	11	 0.0044
2	12	 0.0077
2	13	 0.0053
2	14	 0.0176
2	15	 0.0056
2	16	 0.0041
2	17	 0.0041
2	18	 0.0319
2	19	 0.0048
2	20	 0.0073
2	21	 0.0118
2	22	 0.1241
2	23	 0.0105
