pca1	pca2	community	category
-0.1112	 0.1510	streetwear	other
-0.1931	-0.0165	Jokes	other
 0.2033	 0.7589	MaddenUltimateTeam	videogames
-0.2078	 0.0909	cringe	other
-0.0757	 0.6641	CFB	sports
-0.2582	-0.1547	food	other
 0.4400	-0.0863	pcmasterrace	technology
 0.4159	-0.2873	jailbreak	technology
-0.0125	 0.5378	MLS	sports
-0.1508	 0.4757	MMA	sports
-0.2982	-0.0985	rupaulsdragrace	other
 0.3712	 0.1266	GlobalOffensive	videogames
-0.2381	 0.0918	bodybuilding	other
 0.1510	 0.2811	Kappa	other
-0.1001	-0.0234	videos	other
 0.0333	 0.5707	reddevils	sports
-0.1677	-0.0674	todayilearned	general-interest
 0.4307	-0.3514	KerbalSpaceProgram	videogames
-0.2087	-0.0024	justneckbeardthings	other
-0.1360	-0.1547	LifeProTips	general-interest
 0.2559	-0.1025	airsoft	other
 0.4795	-0.0911	GameDeals	other
-0.1419	-0.0265	toronto	other
 0.4640	-0.0213	eu4	videogames
-0.0489	-0.0297	cars	other
 0.4311	-0.2556	Warframe	videogames
-0.1715	-0.1334	EarthPorn	other
 0.5521	-0.2530	techsupport	technology
 0.4586	 0.2161	heroesofthestorm	videogames
-0.2194	-0.0927	Drugs	other
 0.3353	-0.1331	oculus	technology
 0.0612	-0.0641	KotakuInAction	other
-0.1803	-0.1250	exjw	other
-0.2559	-0.0573	stopdrinking	other
-0.3035	-0.1382	AskWomen	female-focused
 0.2091	 0.2031	EDH	videogames
 0.0403	-0.1995	photography	other
-0.1291	-0.0751	Fantasy	other
-0.2169	-0.1814	femalefashionadvice	female-focused
-0.3164	-0.1123	breakingmom	female-focused
-0.2395	-0.1843	BabyBumps	female-focused
-0.0413	-0.1888	explainlikeimfive	general-interest
-0.2424	-0.1299	xxfitness	female-focused
-0.2257	-0.1465	TwoXChromosomes	female-focused
-0.1869	-0.0885	Advice	general-interest
-0.2547	-0.0953	relationships	general-interest
